customer_id,annual_income,credit_limit,distress_start,defaulted
CUST_8B243157,279016.78,65687.24,,0
CUST_559401A6,942552.83,286659.48,,0
CUST_B9EECA8C,940501.99,379898.88,,0
CUST_9A3515AF,1676814.93,554361.73,4.0,1
CUST_04832EF9,1436668.39,309739.36,6.0,1
CUST_26E8C1D7,1500572.16,472379.15,,0
CUST_1E4CD0C6,1006406.7,251840.4,5.0,1
CUST_F28F6CAE,563660.66,210561.41,10.0,1
CUST_D45BE0A8,1737269.68,668739.19,9.0,1
CUST_75D6CC46,919137.42,371977.92,,0
CUST_8BD04144,335589.25,93640.62,,0
CUST_492DDE9B,818585.29,257197.36,,0
CUST_682186B5,687625.97,245780.51,,0
CUST_8A7E3837,903351.69,246078.68,,0
CUST_0FAB0518,1481470.49,592770.74,,0
CUST_A5F9205D,1544935.94,574426.07,,0
CUST_ABE432AD,1296143.87,442853.65,,0
CUST_F3C9B3DD,386824.67,122144.18,9.0,1
CUST_39ECB110,1304611.02,420157.89,,0
CUST_2F49B3B1,1744246.57,369867.81,,0
CUST_3CA0E291,755922.55,250859.15,,0
CUST_66A01D4F,1039172.9,224187.1,,0
CUST_F0F7A857,1112511.54,347304.25,,0
CUST_79121995,1179849.79,428201.68,,0
CUST_1B19C751,1243716.32,290082.86,,0
CUST_D37F781F,692136.3,155199.46,,0
CUST_1726995E,1331278.77,509075.84,,0
CUST_1BD67E08,1374398.92,525316.65,,0
CUST_DD4D5C33,404101.6,166812.46,,0
CUST_235D5993,249442.67,92601.0,,0
CUST_F59613A5,1529664.04,299674.86,,0
CUST_99EB10D4,1249559.5,516979.42,,0
CUST_2A909984,1641442.99,457615.98,4.0,1
CUST_CF1695FB,532697.68,174850.53,,0
CUST_DCCF24C1,1036341.08,368837.61,,0
CUST_19518B20,682462.22,160286.77,,0
CUST_308D89FF,1114847.22,274201.08,9.0,1
CUST_222E9803,549359.13,202073.45,,0
CUST_A8FBD66D,1446394.7,344087.74,,0
CUST_A430AD59,1384355.2,281603.88,,0
CUST_5A031469,1735285.53,558901.5,,0
CUST_5778A527,1560346.53,434125.0,,0
CUST_81D586A0,1782917.01,496568.34,,0
CUST_F6D069F2,1402234.68,474402.19,,0
CUST_83157A81,1472127.73,330857.56,,0
CUST_C897D471,574431.84,157148.35,,0
CUST_DB8B7DC7,1178681.29,230924.95,,0
CUST_A91EC2D0,1229187.87,293938.03,,0
CUST_8400423F,1400959.19,474432.33,,0
CUST_4115DDC8,963464.58,228852.91,,0
CUST_E3834462,818248.92,232492.33,10.0,1
CUST_6A974B1A,273773.18,96782.71,10.0,1
CUST_2FAD3612,619734.56,224431.0,,0
CUST_0A2AB944,924091.35,324602.25,,0
CUST_7F09C3EE,909375.66,371775.47,9.0,1
CUST_8B3BFD87,1117800.79,232750.25,,0
CUST_A330F232,1145090.28,360041.11,,0
CUST_2DF6D8D9,1133445.49,331207.62,,0
CUST_B29DF8B3,1611218.64,269835.18,,0
CUST_41A0F444,386263.95,110880.32,,0
CUST_4F33CA7C,780298.38,306158.35,,0
CUST_9DC2EDC3,1735427.88,356176.07,,0
CUST_0E1C52AF,338739.57,75819.1,,0
CUST_C09774CE,259813.03,64813.13,,0
CUST_A0E0CDDF,317559.49,109310.63,,0
CUST_2B746713,1191640.3,375236.3,7.0,1
CUST_1F4384D7,1226819.53,232963.24,4.0,1
CUST_FE3C59AF,810320.33,135605.88,,0
CUST_5968C4E8,1254956.1,326259.17,,0
CUST_DCC48CA5,1795803.59,608080.91,,0
CUST_7DDA04B4,1363096.25,366693.23,9.0,1
CUST_B086EEAD,1491596.61,331609.01,,0
CUST_D5824BF6,1659495.93,347465.91,3.0,1
CUST_B0E1488B,1193236.46,344744.02,,0
CUST_773221FF,929039.29,304342.83,,0
CUST_5987E5E5,292350.56,48932.03,,0
CUST_92830712,1205232.09,367488.55,,0
CUST_6AF23710,1094386.05,451888.17,,0
CUST_FC9B38C2,1377563.31,269356.74,,0
CUST_3B3A2D7A,385582.86,121912.11,,0
CUST_4370B73D,969670.7,331304.17,,0
CUST_F1D72205,1023548.12,262806.86,,0
CUST_3AB67D9E,1445151.21,465952.06,,0
CUST_61FE6EBC,1515450.26,280959.01,,0
CUST_905B99C9,1039251.85,281572.21,5.0,1
CUST_101BC978,1775265.56,554357.68,,0
CUST_0319E2B6,1654166.29,683170.73,,0
CUST_67A10A70,825498.54,204559.61,,0
CUST_F603661A,1067298.76,265927.54,,0
CUST_DA00DF3E,1376879.9,311532.44,,0
CUST_140DD771,1540058.14,298293.12,,0
CUST_DEA540F4,539633.56,111054.58,,0
CUST_D4EFD64F,487019.68,111814.87,,0
CUST_5BB8C7E5,973698.24,338110.68,,0
CUST_BB0D3D65,1058570.73,317365.78,,0
CUST_A1334A47,332791.57,74227.13,,0
CUST_5314B4A8,1371132.98,276947.63,,0
CUST_63AD5722,1204466.04,289898.19,,0
CUST_7CA47A13,437093.94,98543.1,8.0,1
CUST_622167C1,1757753.27,519343.41,,0
CUST_D3C33D3B,1023496.41,361447.03,4.0,1
CUST_D2987963,1740231.61,708904.01,,0
CUST_EB6B1797,1415843.57,315385.4,6.0,1
CUST_F29F10B1,430950.44,108692.14,,0
CUST_8B1A7943,1277055.83,397138.2,,0
CUST_70EA595F,926975.6,335278.8,,0
CUST_2A520456,472321.49,182046.68,,0
CUST_F6ADDC93,1413849.43,567252.74,,0
CUST_239D9B58,1596348.34,339194.72,9.0,1
CUST_6A19B0FC,282456.73,61298.03,,0
CUST_D11CBE78,386751.91,71815.45,8.0,1
CUST_62D6C7B8,423492.73,161577.15,8.0,1
CUST_F56FAC0A,654512.52,144481.44,,0
CUST_D7CF0188,1721616.0,382485.23,,0
CUST_577796A2,394597.79,115655.22,,0
CUST_40BC73F7,1762798.66,630973.52,4.0,1
CUST_638FF0B7,1243846.3,293980.73,,0
CUST_15E9C7FC,1170757.35,481012.53,3.0,1
CUST_7D1C2EF8,1072601.14,288989.12,,0
CUST_CEDA0F66,1644861.79,519654.69,,0
CUST_44F22E3D,1071209.3,315479.47,,0
CUST_E1204028,672999.42,245654.75,,0
CUST_5C3076DD,1632745.25,322592.41,,0
CUST_B0407555,641828.79,217234.01,,0
CUST_00173CA1,1406598.21,395268.42,,0
CUST_E38A6B62,280567.98,48171.85,,0
CUST_62B16B97,1623905.02,389123.66,,0
CUST_FF61697C,1121886.56,238913.54,,0
CUST_05E2665B,365027.23,90115.21,,0
CUST_7D40215D,636043.17,161304.48,6.0,1
CUST_EE09D631,514670.88,112206.03,,0
CUST_E73B9390,1399826.13,244653.57,,0
CUST_8DF0B96E,1253669.43,386650.8,,0
CUST_A79E95D9,1436717.33,456642.15,,0
CUST_DD55DBFE,1074732.91,319282.15,,0
CUST_A3347188,857177.34,250995.34,,0
CUST_4B9ACA71,1388727.4,515612.02,10.0,1
CUST_5C4B6B51,1760924.97,562549.4,10.0,1
CUST_62C21C90,940864.87,326832.86,,0
CUST_6C4B307D,1275144.25,286192.12,4.0,1
CUST_0AD608D0,1245038.86,231655.24,,0
CUST_31289D05,410484.14,138046.33,,0
CUST_CF8D8176,1464227.45,392183.98,,0
CUST_334BA8F4,1123297.57,327361.58,,0
CUST_DFEA10FE,719201.25,170688.04,5.0,1
CUST_3D3D723E,651236.79,116009.42,,0
CUST_CC99E8B5,483174.66,83363.9,,0
CUST_D92B0006,1706131.01,665716.04,,0
CUST_CBD5AD31,393610.03,67678.88,6.0,1
CUST_ABFB2C86,1238869.94,445619.89,,0
CUST_A9B39382,383084.34,143688.56,4.0,1
CUST_BE28D655,260368.98,105536.95,,0
CUST_950BEFDC,1652632.47,593299.08,8.0,1
CUST_E8126DD3,1142750.11,268511.36,10.0,1
CUST_D795D557,1483780.27,270290.78,3.0,1
CUST_97AC2C03,1593456.85,332425.62,5.0,1
CUST_3AC5355C,331685.31,66776.1,,0
CUST_6FE07241,711534.78,193073.91,,0
CUST_917136D1,1308477.25,369374.02,,0
CUST_5C28C875,382648.14,88398.94,,0
CUST_40C7701F,765040.0,149171.37,3.0,1
CUST_A24F50BB,1601752.05,644455.78,,0
CUST_E94337F1,1176769.21,271011.43,8.0,1
CUST_D0EAF15C,955850.07,174063.42,,0
CUST_458BDE63,880819.23,236107.53,10.0,1
CUST_4F3E89C6,1506104.14,319283.91,,0
CUST_AD5697DF,892596.63,284103.07,,0
CUST_A241BB87,302282.89,111574.98,7.0,1
CUST_BFEDCF70,256797.59,62117.94,5.0,1
CUST_64EE0A69,1140561.08,244670.37,5.0,1
CUST_07547995,540327.62,202304.46,,0
CUST_AF63543C,1690179.51,641686.22,5.0,1
CUST_1273454E,1578135.32,362234.49,,0
CUST_665133AA,537475.52,110054.68,,0
CUST_BDFAB186,564805.09,128971.5,,0
CUST_A93E8CC1,778788.41,158148.08,,0
CUST_63336DDA,417940.42,139685.39,,0
CUST_FC0ED6C9,1192720.26,331821.71,,0
CUST_10B2D444,443773.41,121533.62,,0
CUST_287F93D2,744220.41,304450.53,,0
CUST_B6279408,1713872.94,699492.7,,0
CUST_5BCBADC7,273634.5,77005.36,,0
CUST_68676C44,1549302.95,525471.76,,0
CUST_0F514778,1182123.1,389926.07,3.0,1
CUST_32079802,1502368.95,602207.77,,0
CUST_85C8CB58,1585556.32,552941.76,,0
CUST_FE88B57E,1218340.33,309027.43,,0
CUST_28B00F2C,584546.23,140367.95,4.0,1
CUST_EFC42263,1425447.75,444724.87,,0
CUST_9E6F76AC,710502.56,193914.31,,0
CUST_646DE096,1781222.75,399729.74,,0
CUST_28F704F4,390297.04,85673.43,,0
CUST_ECA32187,1429569.95,391671.04,,0
CUST_7A4351CB,1618429.58,575525.16,3.0,1
CUST_6EDEB313,1021138.01,250379.67,,0
CUST_D810E800,1414366.87,254925.54,,0
CUST_23DC20FC,879226.52,176455.2,6.0,1
CUST_A82014BF,817257.64,217797.95,,0
CUST_0C8F9CA3,1064794.97,412852.84,,0
CUST_B52533FF,268291.86,78289.3,,0
CUST_8A34DF57,1539631.13,503553.31,,0
CUST_D1D076B3,1362247.27,278446.76,,0
CUST_C6392B2F,1251786.35,357846.64,,0
CUST_57507281,1293289.3,376132.48,,0
CUST_C160924F,1488382.25,260609.58,,0
CUST_5A77AC94,1271727.83,263945.34,,0
CUST_E0282434,1150957.95,306529.61,,0
CUST_189459EA,1713230.69,523469.2,7.0,1
CUST_DAB449B9,521380.32,126055.65,,0
CUST_C24640B9,563738.01,178644.74,7.0,1
CUST_18E5726D,382530.08,131676.44,,0
CUST_6006738C,1627528.42,437748.16,,0
CUST_C5441DA2,1492437.08,342766.83,,0
CUST_575022FB,1202315.14,286330.79,,0
CUST_F441E3FF,762473.98,197211.72,6.0,1
CUST_8570BB92,348601.32,96940.22,5.0,1
CUST_6988DADB,761923.88,162810.14,,0
CUST_22AF3369,1606747.84,358639.71,,0
CUST_F7D7A69B,486757.73,89305.71,9.0,1
CUST_5D2E6C9F,1397130.75,484585.88,,0
CUST_A8E0E67A,1431336.06,377268.64,,0
CUST_3CDB9527,903771.03,288068.31,,0
CUST_C8922593,586097.77,180728.88,,0
CUST_41A410D2,1101633.3,431254.46,,0
CUST_ACADDD25,267383.02,86743.13,,0
CUST_800EC32E,1005374.26,280502.28,,0
CUST_A311D41E,1115628.09,461382.63,3.0,1
CUST_25DAC985,1189781.01,272003.02,8.0,1
CUST_1470676A,1137209.03,465606.59,,0
CUST_36DDF93E,1123404.94,433438.61,,0
CUST_E68CF1AE,563452.54,119340.18,9.0,1
CUST_6D28CF88,1564299.68,592351.03,,0
CUST_E81BA871,939999.44,214345.6,4.0,1
CUST_A5B8C280,1168542.1,254903.37,,0
CUST_8CF24E6F,518371.98,93372.43,9.0,1
CUST_74C7FE1B,616330.87,252347.12,10.0,1
CUST_12C3DC07,792839.66,323885.17,,0
CUST_6BCFD851,919915.76,188304.1,,0
CUST_D660A4E7,1247935.3,390309.54,,0
CUST_A71DEB4E,698612.38,215975.05,,0
CUST_EB8B3DAF,1596360.89,326753.22,,0
CUST_DDB0E364,1263026.78,500407.32,,0
CUST_66EFE7A8,744135.71,161171.87,,0
CUST_DD76DC63,1092723.68,259824.19,,0
CUST_73DFA599,1358689.39,452083.85,,0
CUST_6EB5C811,760760.75,236958.69,,0
CUST_D6AD104B,1430697.78,589644.21,,0
CUST_38892770,811030.13,291179.68,,0
CUST_409894EF,591076.11,169077.33,,0
CUST_9A44A3CF,1414918.11,317876.26,,0
CUST_EA01EEE1,1317456.65,545598.42,,0
CUST_6DFE2115,816725.34,309476.98,3.0,1
CUST_DC9D4F21,950710.7,258248.92,,0
CUST_730CBAC7,665847.61,273623.76,,0
CUST_3C863AA6,1494277.86,542916.82,3.0,1
CUST_E3B0E83D,749949.4,173887.0,,0
